country,Year,PatentNum,maxCitations,avgCitations,diffCitations
BR,1980,4188184,25,4.909090909090909,20.09090909090909
BR,1979,4141590,13,4.375,8.625
BR,1990,4892746,28,4.96875,23.03125
BR,1975,3881513,13,5.153846153846154,7.846153846153846
BR,1993,5181563,13,3.0930232558139537,9.906976744186046
BR,1985,4502567,39,6.923076923076923,32.07692307692308
BR,1986,4577529,34,6.0476190476190474,27.952380952380953
BR,1968,3381934,15,4.363636363636363,10.636363636363637
BR,1969,3433222,25,6.384615384615385,18.615384615384613
BR,1991,4983047,17,3.477272727272727,13.522727272727273
BR,1988,4735128,21,5.923076923076923,15.076923076923077
BR,1978,4066532,36,6.954545454545454,29.045454545454547
BR,1981,4250751,17,5.526315789473684,11.473684210526315
BR,1971,3580249,11,4.7272727272727275,6.2727272727272725
BR,1992,5082815,15,3.935483870967742,11.064516129032258
BR,1995,5384032,7,2.325,4.675
BR,1973,3719996,12,5.2,6.8
BR,1965,3179427,7,3.111111111111111,3.888888888888889
BR,1997,5590948,6,1.608695652173913,4.391304347826087
BR,1999,5857498,1,1.0,0.0
BR,1964,3122640,2,1.3333333333333333,0.6666666666666667
BS,1998,5716365,2,1.1428571428571428,0.8571428571428572
BS,1989,4855416,14,6.4,7.6
BS,1971,3611977,9,5.5,3.5
BS,1995,5378828,8,3.6666666666666665,4.333333333333334
BS,1969,3451235,15,8.285714285714286,6.7142857142857135
BS,1976,3953222,8,5.0,3.0
BS,1973,3725223,27,11.666666666666666,15.333333333333334
BS,1977,4056449,5,2.5,2.5
BS,1994,5368702,12,8.0,4.0
BS,1975,3923614,3,2.25,0.75
BS,1978,4108756,23,8.833333333333334,14.166666666666666
BS,1992,5135621,7,5.0,2.0
BS,1984,4465963,5,4.0,1.0
BS,1987,4650552,17,11.5,5.5
BS,1991,5071533,18,9.0,9.0
BS,1964,3133659,2,2.0,0.0
BS,1988,4757962,4,3.6666666666666665,0.3333333333333335
BS,1972,3659364,17,9.0,8.0
BS,1968,3373610,6,6.0,0.0
BS,1985,4522896,16,7.0,9.0
BS,1965,3194880,4,4.0,0.0
BS,1990,4924793,2,1.5,0.5
BS,1981,4246324,35,9.5,25.5
BS,1996,5507933,14,10.5,3.5
BS,1974,3844437,7,3.2857142857142856,3.7142857142857144
BS,1982,4339232,7,5.5,1.5
BS,1983,4367140,18,12.0,6.0
BS,1979,4136235,24,11.5,12.5
BS,1993,5203971,7,4.0,3.0
BS,1963,3074584,3,2.0,1.0
BS,1980,4187155,26,10.75,15.25
BS,1997,5609627,14,5.666666666666667,8.333333333333332
BS,1967,3323309,7,5.0,2.0
BS,1966,3240186,7,7.0,0.0
BY,1994,5353839,11,7.5,3.5
BY,1995,5410779,18,7.333333333333333,10.666666666666668
BY,1996,5577948,8,6.25,1.75
BY,1997,5643343,5,3.5,1.5
BY,1998,5741983,1,1.0,0.0
BZ,1976,3933110,10,10.0,0.0
CA,1991,4980928,153,5.952407932011331,147.04759206798866
CA,1995,5377426,47,3.8376623376623376,43.16233766233766
CA,1983,4366607,89,7.060840707964601,81.9391592920354
CA,1992,5078023,137,5.770423375074538,131.22957662492547
CA,1993,5175913,64,5.163455562461156,58.83654443753885
CA,1984,4423740,134,7.1415607985480944,126.8584392014519
CA,1997,5590494,52,2.2289156626506026,49.7710843373494
CA,1974,3782035,104,6.1305070656691605,97.86949293433084
CA,1990,4890380,104,6.108947048082776,97.89105295191723
CA,1975,3858384,129,6.856896551724138,122.14310344827587
CA,1987,4633574,90,7.26671261199173,82.73328738800826
CA,1970,3487578,32,4.604994324631101,27.3950056753689
CA,1969,3420162,39,4.734082397003745,34.265917602996254
CA,1966,3226877,41,4.403337969401947,36.596662030598054
CA,1999,5857965,3,1.092783505154639,1.907216494845361
CA,1980,4180933,55,6.576253838280451,48.42374616171955
CA,1996,5479755,32,3.0509857239972806,28.94901427600272
CA,1988,4716691,81,6.925339366515837,74.07466063348416
CA,1965,3163885,34,4.189655172413793,29.810344827586206
CA,1973,3707811,56,5.876666666666667,50.123333333333335
CA,1964,3116555,29,4.059917355371901,24.9400826446281
CA,1982,4308756,89,7.165938864628821,81.83406113537117
CA,1967,3295146,38,4.675066312997347,33.324933687002655
CA,1971,3551935,35,5.171985815602837,29.828014184397162
CA,1976,3930288,102,6.617180205415499,95.3828197945845
CA,1972,3631795,120,5.668508287292818,114.33149171270718
CA,1963,3071050,99,3.8374717832957113,95.16252821670429
CA,1998,5704063,10,1.5562659846547315,8.44373401534527
CA,1994,5274856,184,4.803482587064677,179.19651741293532
CA,1977,4000585,57,6.902283105022831,50.09771689497717
CA,1968,3361085,42,4.452883263009845,37.547116736990155
CA,1981,4242759,64,7.00575263662512,56.99424736337488
CA,1978,4065818,72,6.658058771148709,65.3419412288513
CA,1979,4131963,55,6.783398184176394,48.21660181582361
CA,1989,4794962,99,6.205763688760807,92.79423631123919
CA,1985,4490885,62,7.054681027340513,54.945318972659486
CA,1986,4562603,116,7.09723386420788,108.90276613579212
CC,1989,4815507,5,5.0,0.0
CH,1990,4890537,117,5.180943214629451,111.81905678537055
CH,1981,4242885,62,6.010446343779677,55.98955365622032
CH,1974,3781917,82,5.664203612479475,76.33579638752053
CH,1971,3551951,49,4.578431372549019,44.42156862745098
CH,1987,4633858,289,6.39010067114094,282.60989932885906
CH,1993,5176074,66,4.236559139784946,61.763440860215056
CH,1977,4000588,69,6.027610008628128,62.97238999137187
CH,1985,4490899,188,6.426704014939309,181.5732959850607
CH,1966,3226768,42,3.7729323308270675,38.22706766917293
CH,1972,3631651,53,4.784059314179796,48.2159406858202
CH,1980,4181052,144,6.219690063810392,137.7803099361896
CH,1992,5078479,47,4.81148429035753,42.18851570964247
CH,1967,3295469,47,3.675675675675676,43.32432432432432
CH,1982,4308695,134,6.205823293172691,127.79417670682732
CH,1975,3858468,50,5.527622097678143,44.47237790232186
CH,1994,5274892,49,3.7756097560975608,45.22439024390244
CH,1964,3116537,25,3.5872641509433962,21.412735849056602
CH,1991,4980952,129,5.250465549348231,123.74953445065177
CH,1984,4423570,104,5.839762611275964,98.16023738872404
CH,1997,5591865,17,2.002439024390244,14.997560975609757
CH,1963,3070838,35,3.2505910165484635,31.749408983451538
CH,1983,4366653,90,6.130994152046783,83.86900584795322
CH,1969,3420049,34,4.417085427135678,29.582914572864322
CH,1973,3707774,40,5.187895212285456,34.812104787714546
CH,1986,4562909,105,5.9340344168260035,99.06596558317399
CH,1995,5377385,46,3.258493353028065,42.741506646971935
CH,1988,4716631,141,6.190968955785513,134.8090310442145
CH,1989,4794802,74,5.668761220825853,68.33123877917414
CH,1978,4066067,75,6.1300256629597945,68.8699743370402
CH,1996,5479801,24,2.562913907284768,21.437086092715234
CH,1976,3930356,58,5.79203187250996,52.20796812749004
CH,1968,3360869,39,4.192868719611021,34.80713128038898
CH,1970,3487584,50,4.311893203883495,45.68810679611651
CH,1965,3163971,33,3.470383275261324,29.529616724738677
CH,1998,5705062,6,1.3522267206477734,4.647773279352227
CH,1979,4132248,50,6.071347678369196,43.92865232163081
CH,1999,5856648,2,1.2,0.8
CI,1982,4348423,11,11.0,0.0
CI,1987,4667846,5,5.0,0.0
CI,1977,4040142,18,18.0,0.0
CI,1973,3748867,4,4.0,0.0
CL,1995,5437691,1,1.0,0.0
CL,1984,4430982,5,2.6666666666666665,2.3333333333333335
CL,1972,3695849,7,5.0,2.0
CL,1973,3712303,22,6.8,15.2
CL,1997,5635051,1,1.0,0.0
CL,1969,3421245,8,4.0,4.0
CL,1975,3876496,28,7.666666666666667,20.333333333333332
CL,1992,5079022,1,1.0,0.0
CL,1971,3561973,12,6.285714285714286,5.714285714285714
CL,1994,5312036,6,2.142857142857143,3.857142857142857
CL,1987,4665969,2,1.3333333333333333,0.6666666666666667
CL,1998,5720742,2,1.2,0.8
CL,1985,4516205,14,11.5,2.5
CL,1989,4858738,2,2.0,0.0
CL,1979,4158050,3,3.0,0.0
CL,1978,4119314,5,2.6666666666666665,2.3333333333333335
CL,1965,3166862,2,1.3333333333333333,0.6666666666666667
CL,1970,3532303,1,1.0,0.0
CL,1993,5190443,6,2.6,3.4
CL,1980,4196332,22,7.2,14.8
CL,1988,4736894,12,6.0,6.0
CL,1991,5013449,5,3.3333333333333335,1.6666666666666665
CL,1968,3398694,13,7.0,6.0
CL,1974,3806119,12,7.0,5.0
CL,1996,5509787,3,2.0,1.0
CL,1977,4028462,4,2.6666666666666665,1.3333333333333335
CL,1967,3314184,7,4.0,3.0
CL,1963,3093113,4,4.0,0.0
CL,1964,3138347,1,1.0,0.0
CL,1986,4562694,2,2.0,0.0
CL,1990,4915941,3,3.0,0.0
CL,1976,3953004,1,1.0,0.0
CL,1982,4356639,6,6.0,0.0
CL,1966,3241400,4,4.0,0.0
CL,1981,4302037,1,1.0,0.0
CL,1983,4379511,8,8.0,0.0
CM,1966,3234057,4,4.0,0.0
CM,1972,3666063,11,11.0,0.0
CN,1963,3071297,6,3.5,2.5
CN,1989,4796391,33,6.097560975609756,26.902439024390244
CN,1968,3394710,4,2.25,1.75
CN,1993,5177048,24,3.8536585365853657,20.146341463414636
CN,1967,3297280,10,4.75,5.25
CN,1987,4664919,22,6.052631578947368,15.947368421052632
CN,1969,3444514,4,2.0,2.0
CN,1974,3785282,22,6.529411764705882,15.470588235294118
CN,1998,5720004,4,1.25,2.75
CN,1976,3955778,8,4.6,3.4000000000000004
CN,1999,5883014,1,1.0,0.0
CN,1986,4614496,8,3.6,4.4
CN,1964,3118270,5,3.0,2.0
CN,1981,4277912,9,7.0,2.0
CN,1992,5087680,15,3.7777777777777777,11.222222222222221
CN,1990,4913995,35,7.222222222222222,27.77777777777778
CN,1979,4159445,2,2.0,0.0
CN,1973,3719496,5,2.5555555555555554,2.4444444444444446
CN,1972,3635101,6,2.8,3.2
CN,1995,5380690,7,1.8235294117647058,5.176470588235294
CN,1980,4181190,2,2.0,0.0
CN,1965,3185696,8,5.666666666666667,2.333333333333333
CN,1997,5595743,3,1.45,1.55
CN,1971,3571701,15,3.8461538461538463,11.153846153846153
CN,1994,5278852,11,2.7941176470588234,8.205882352941178
CN,1996,5481488,6,1.9642857142857142,4.035714285714286
CN,1991,4990068,39,5.525,33.475
CN,1988,4718838,25,5.195121951219512,19.804878048780488
CN,1985,4529084,9,9.0,0.0
CN,1983,4382995,8,8.0,0.0
CN,1975,3872336,2,2.0,0.0
CN,1977,4048683,3,3.0,0.0
CN,1984,4435124,6,6.0,0.0
CN,1966,3285540,1,1.0,0.0
CN,1970,3493179,19,8.25,10.75
CO,1967,3301423,21,6.75,14.25
CO,1973,3750280,12,5.4,6.6
